   K    	  n/K   	Asymptotic Efficient
  5000  	     1  	       False        
  2500  	     2  	       False        
  1666  	     3  	       False        
  1250  	     4  	       False        
  1000  	     5  	        True        
   833  	     6  	        True        
   714  	     7  	        True        
   625  	     8  	        True        
   555  	     9  	        True        
   500  	    10  	        True        
   454  	    11  	        True        
   416  	    12  	        True        
   384  	    13  	        True        
   357  	    14  	        True        
   333  	    15  	        True        
   312  	    16  	        True        
   294  	    17  	        True        
   277  	    18  	        True        
   263  	    19  	        True        
   250  	    20  	        True        
   238  	    21  	        True        
   227  	    22  	        True        
   217  	    23  	        True        
   208  	    24  	        True        
   200  	    25  	        True        
   192  	    26  	        True        
   185  	    27  	        True        
   178  	    28  	        True        
   172  	    29  	        True        
   166  	    30  	        True        
   161  	    31  	        True        
   156  	    32  	        True        
   151  	    33  	        True        
   147  	    34  	        True        
   142  	    35  	        True        
   138  	    36  	        True        
   135  	    37  	        True        
   131  	    38  	        True        
   128  	    39  	        True        
   125  	    40  	        True        
   121  	    41  	        True        
   119  	    42  	        True        
   116  	    43  	        True        
   113  	    44  	        True        
   111  	    45  	        True        
   108  	    46  	        True        
   106  	    47  	        True        
   104  	    48  	        True        
   102  	    49  	        True        
   100  	    50  	        True        
    98  	    51  	        True        
    96  	    52  	        True        
    94  	    53  	        True        
    92  	    54  	        True        
    90  	    55  	        True        
    89  	    56  	        True        
    87  	    57  	        True        
    86  	    58  	        True        
    84  	    59  	        True        
    83  	    60  	        True        
    81  	    61  	        True        
    80  	    62  	        True        
    79  	    63  	        True        
    78  	    64  	        True        
    76  	    65  	        True        
    75  	    66  	        True        
    74  	    67  	        True        
    73  	    68  	        True        
    72  	    69  	        True        
    71  	    70  	        True        
    70  	    71  	        True        
    69  	    72  	        True        
    68  	    73  	        True        
    67  	    74  	        True        
    66  	    75  	        True        
    65  	    76  	        True        
    64  	    77  	        True        
    64  	    78  	        True        
    63  	    79  	        True        
    62  	    80  	        True        
    61  	    81  	        True        
    60  	    82  	        True        
    60  	    83  	        True        
    59  	    84  	        True        
    58  	    85  	        True        
    58  	    86  	        True        
    57  	    87  	        True        
    56  	    88  	        True        
    56  	    89  	        True        
    55  	    90  	        True        
    54  	    91  	        True        
    54  	    92  	        True        
    53  	    93  	        True        
    53  	    94  	        True        
    52  	    95  	        True        
    52  	    96  	        True        
    51  	    97  	        True        
    51  	    98  	        True        
    50  	    99  	        True        
