   K       n/K    Bias Estimative 
  5000       1       2.970e-16  
  2500       2       2.899e-16  
  1666       4       2.573e-04  
  1000       5       3.020e-16  
  833        7       1.694e-04  
  714        8      -1.768e-04  
  555       10      -8.138e-04  
  454       12       5.085e-04  
  416       13       3.750e-04  
  384       14       4.959e-04  
  357       15       2.330e-04  
  333       16       6.557e-04  
  312       17      -3.047e-04  
  294       18       5.036e-05  
  277       19      -2.331e-04  
  263       20       1.325e-04  
  238       22       1.349e-04  
  227       23      -3.717e-04  
  217       24       4.866e-05  
  208       25       9.238e-05  
  192       27      -8.656e-05  
  185       28       2.130e-05  
  178       29       1.539e-04  
  172       30      -5.441e-04  
  166       31      -1.242e-04  
  161       32      -1.975e-04  
  156       33       6.291e-05  
  151       34      -6.580e-04  
  147       35       1.403e-04  
  142       36      -6.131e-04  
  138       37       4.133e-04  
  135       38      -1.398e-04  
  131       39       2.490e-04  
  128       40      -4.402e-04  
  121       42      -2.816e-05  
  119       43       2.288e-04  
  116       44       3.889e-04  
  113       45       8.255e-05  
  111       46       3.138e-05  
  108       47      -8.334e-05  
  106       48      -5.105e-04  
  104       49       1.288e-05  
  102       50       8.073e-05  
   98       52      -1.385e-10  
   96       53      -2.639e-04  
   94       54       1.109e-04  
   92       55      -1.625e-04  
   90       56       4.493e-04  
   89       57      -2.928e-04  
   87       58       3.240e-04  
   86       59       3.826e-04  
   84       60      -3.714e-04  
   83       61      -5.149e-04  
   81       62      -1.302e-04  
   80       63       4.062e-04  
   79       64       2.249e-04  
   78       65       7.467e-05  
   76       66       7.507e-05  
   75       67       4.969e-04  
   74       68      -4.077e-04  
   73       69      -3.152e-04  
   72       70      -1.172e-04  
   71       71      -4.857e-05  
   70       72       3.023e-05  
   69       73       3.765e-04  
   68       74       1.046e-04  
   67       75       4.175e-04  
   66       76      -1.383e-04  
   65       77      -4.934e-05  
   64       79       2.188e-04  
   63       80       1.967e-04  
   62       81       2.412e-04  
   61       82       1.028e-04  
   60       84      -1.873e-04  
   59       85      -1.099e-04  
   58       87       9.521e-05  
   57       88      -1.380e-04  
   56       90       1.659e-04  
   55       91       1.632e-05  
   54       93      -2.018e-05  
   53       95       9.378e-05  
   52       97       1.222e-04  
   51       99       1.038e-04  
   50       100       3.375e-16  
   49       103      -1.329e-05  
   48       105       1.016e-04  
   47       107       5.080e-05  
   46       109       2.197e-04  
   45       112       2.928e-05  
   44       114       6.098e-05  
   43       117       6.536e-05  
   42       120      -5.362e-05  
   41       122      -2.261e-05  
   40       125       2.109e-16  
   39       129       9.298e-05  
   38       132      -1.022e-05  
   37       136       4.044e-05  
   36       139       7.592e-05  
   35       143      -1.369e-04  
   34       148       4.142e-05  
   33       152      -3.291e-04  
   32       157      -1.607e-04  
   31       162       1.021e-04  
   30       167       3.426e-05  
   29       173       1.568e-04  
   28       179       2.414e-05  
   27       186       6.144e-05  
   26       193       1.678e-04  
   25       200       3.375e-16  
   24       209       7.594e-05  
   23       218      -1.358e-05  
   22       228      -9.906e-05  
   21       239       7.262e-06  
   20       250       1.110e-16  
   19       264       4.869e-05  
   18       278      -2.169e-05  
   17       295      -6.926e-06  
   16       313       1.519e-04  
   15       334       2.366e-05  
   14       358       3.191e-05  
   13       385       1.630e-05  
   12       417       4.736e-05  
   11       455       8.314e-05  
   10       500       2.220e-16  
   9        556       5.375e-05  
   8        625       4.441e-16  
   7        715      -5.984e-05  
   6        834      -6.649e-06  
   5        1000       1.776e-16  
   4        1250       2.220e-16  
   3        1667       3.620e-06  
   2        2500       8.882e-16  
   1        5000       8.882e-16  
